id,seed,iteration,stage,group,market,rel. loss0,rel. loss1,agent_0_prices,agent_1_prices,agent_platform_welfare,agent_consumer_welfare,agent_social_welfare,agent_0_installed_base,agent_1_installed_base,agent_0_installed_base_both,agent_0_demand,agent_1_demand,agent_outside_split,agent_platform0_split,agent_platform1_split,agent_both_split,agent_0_retention,agent_1_retention,agent_55_tip_demand,agent_60_tip_demand,agent_70_tip_demand,agent_80_tip_demand,agent_55_tip_base,agent_60_tip_base,agent_70_tip_base,agent_80_tip_base
C_0,4,2000,2,0,all,-0.08641415044946421,-0.16394307183964996,0.9315560460090637,0.611142098903656,0.36939573287963867,1.1434826850891113,1.51287841796875,0.8348333239555359,0.2056666612625122,0.04050000011920929,0.8059999942779541,0.1939999908208847,0.0,0.8059999942779541,0.1939999908208847,0.0,0.8811953663825989,1.0,0.9609375,0.921875,0.71484375,0.40625,1.0,1.0,1.0,1.0
C_0,5,2000,0,0,all,-0.08628726855919822,-0.1718155580897296,0.36470410227775574,0.5369189977645874,-0.12919194996356964,2.0337209701538086,1.9045289754867554,0.5099999904632568,0.49000000953674316,0.0,1.0,0.1653333306312561,0.0,0.8346666693687439,0.0,0.1653333306312561,,,,,,,,,,
C_0,5,2000,1,0,all,-0.08628726855919822,-0.1718155580897296,0.6048758625984192,0.49617329239845276,0.09639705717563629,1.5220413208007812,1.6184383630752563,0.7549999952316284,0.32766667008399963,0.08266666531562805,0.921999990940094,0.07800000160932541,0.0,0.921999990940094,0.07800000160932541,0.0,1.0,,,,,,,,,
C_0,5,2000,2,0,all,-0.08628726855919822,-0.1718155580897296,0.9238239526748657,0.605151355266571,0.3638072609901428,1.1534461975097656,1.5172533988952637,0.8385000228881836,0.20283333957195282,0.041333332657814026,0.8116666674613953,0.18833333253860474,0.0,0.8116666674613953,0.18833333253860474,0.0,0.8803326487541199,1.0,0.9609375,0.9140625,0.6796875,0.41015625,1.0,1.0,1.0,1.0
C_0,6,2000,0,0,all,-0.08550455903320198,-0.16597430260893264,0.36455780267715454,0.5378636717796326,-0.1294344961643219,2.025391101837158,1.8959566354751587,0.5099999904632568,0.49000000953674316,0.0,1.0,0.1586666703224182,0.0,0.8413333296775818,0.0,0.1586666703224182,,,,,,,,,,
C_0,6,2000,1,0,all,-0.08550455903320198,-0.16597430260893264,0.6086665391921997,0.49780040979385376,0.10009288787841797,1.5190495252609253,1.6191424131393433,0.7549999952316284,0.3243333399295807,0.0793333351612091,0.9226666688919067,0.07733333110809326,0.0,0.9226666688919067,0.07733333110809326,0.0,1.0,,,,,,,,,
C_0,6,2000,2,0,all,-0.08550455903320198,-0.16597430260893264,0.9275415539741516,0.6063629984855652,0.366731733083725,1.149743914604187,1.5164756774902344,0.8388333320617676,0.20083333551883698,0.03966666758060455,0.8106666803359985,0.18933333456516266,0.0,0.8106666803359985,0.18933333456516266,0.0,0.8786126971244812,1.0,0.9609375,0.9140625,0.72265625,0.4140625,1.0,1.0,1.0,1.0
C_0,7,2000,0,0,all,-0.0899078376524387,-0.18218521826987,0.3650185465812683,0.5352283120155334,-0.12902787327766418,2.038295269012451,1.9092674255371094,0.5099999904632568,0.49000000953674316,0.0,1.0,0.16899999976158142,0.0,0.8309999704360962,0.0,0.16899999976158142,,,,,,,,,,
C_0,7,2000,1,0,all,-0.0899078376524387,-0.18218521826987,0.5998363494873047,0.49182841181755066,0.09112370759248734,1.5245102643966675,1.6156339645385742,0.7549999952316284,0.3295000195503235,0.08449999988079071,0.9193333387374878,0.0806666687130928,0.0,0.9193333387374878,0.0806666687130928,0.0,1.0,,,,,,,,,
C_0,7,2000,2,0,all,-0.0899078376524387,-0.18218521826987,0.9230371117591858,0.6069998145103455,0.36288467049598694,1.152815341949463,1.5156999826431274,0.8371666669845581,0.20508334040641785,0.042249999940395355,0.809666633605957,0.19033333659172058,0.0,0.809666633605957,0.19033333659172058,0.0,0.8807106614112854,0.9999999403953552,0.9609375,0.9140625,0.6796875,0.38671875,1.0,1.0,1.0,1.0
C_0,8,2000,0,0,all,-0.09724438720870054,-0.1728068007759458,0.36557868123054504,0.5292288064956665,-0.12935499846935272,2.0442440509796143,1.9148890972137451,0.5099999904632568,0.49000000953674316,0.0,1.0,0.1733333319425583,0.0,0.8266666531562805,0.0,0.1733333319425583,,,,,,,,,,
C_0,8,2000,1,0,all,-0.09724438720870054,-0.1728068007759458,0.6027768850326538,0.4886016249656677,0.09272946417331696,1.5152839422225952,1.608013391494751,0.7549999952316284,0.3316666781902313,0.08666666597127914,0.9120000004768372,0.08799999952316284,0.0,0.9120000004768372,0.08799999952316284,0.0,1.0,,,,,,,,,
C_0,8,2000,2,0,all,-0.09724438720870054,-0.1728068007759458,0.9289149045944214,0.6118811964988708,0.3652968108654022,1.1425371170043945,1.5078339576721191,0.8335000276565552,0.20983333885669708,0.04333333298563957,0.7993333339691162,0.2006666660308838,0.0,0.7993333339691162,0.2006666660308838,0.0,0.8764619827270508,1.0,0.9609375,0.9140625,0.67578125,0.37890625,1.0,1.0,1.0,1.0
C_0,9,2000,0,0,all,-0.12897086495316468,-0.22051454995201913,0.36585479974746704,0.5260573625564575,-0.12916824221611023,2.067218780517578,1.9380505084991455,0.5099999904632568,0.49000000953674316,0.0,1.0,0.19099999964237213,0.0,0.8090000152587891,0.0,0.19099999964237213,,,,,,,,,,
C_0,9,2000,1,0,all,-0.12897086495316468,-0.22051454995201913,0.5906577706336975,0.48264938592910767,0.08025296777486801,1.5192639827728271,1.5995169878005981,0.7549999952316284,0.34049999713897705,0.09549999982118607,0.9036666750907898,0.0963333323597908,0.0,0.9036666750907898,0.0963333323597908,0.0,1.0,,,,,,,,,
C_0,9,2000,2,0,all,-0.12897086495316468,-0.22051454995201913,0.9206245541572571,0.6138207912445068,0.3585479259490967,1.1480424404144287,1.5065903663635254,0.8293333053588867,0.21841666102409363,0.04774999991059303,0.7976666688919067,0.20233333110809326,0.0,0.7976666688919067,0.20233333110809326,0.0,0.8827000856399536,1.0,0.94140625,0.90234375,0.640625,0.36328125,1.0,1.0,1.0,1.0
C_1,0,2000,0,0,all,0.027701542725440897,0.0025670644690568567,0.4636562764644623,0.608532190322876,-0.007655046880245209,2.3134875297546387,2.3058323860168457,0.5099999904632568,0.49000000953674316,0.0,1.0,0.2643333375453949,0.0,0.7356666326522827,0.0,0.2643333375453949,,,,,,,,,,
C_1,0,2000,1,0,all,0.027701542725440897,0.0025670644690568567,0.6481937170028687,0.5142024755477905,0.14640717208385468,1.788904070854187,1.935311198234558,0.7549999952316284,0.3771666884422302,0.13216666877269745,0.9866666793823242,0.013333333656191826,0.0,0.9866666793823242,0.013333333656191826,0.0,1.0,,,,,,,,,
C_1,0,2000,2,0,all,0.027701542725440897,0.0025670644690568567,1.0528843402862549,0.5797122120857239,0.5066711902618408,1.297438383102417,1.8041095733642578,0.8708333373069763,0.195250004529953,0.06608333438634872,0.9023333191871643,0.0976666659116745,0.0,0.9023333191871643,0.0976666659116745,0.0,0.9145270586013794,1.0,0.99609375,0.98828125,0.89453125,0.66796875,1.0,1.0,1.0,1.0
C_1,1,2000,0,0,all,0.03123268399659218,0.014047314018891699,0.4626619219779968,0.6082754731178284,-0.008392434567213058,2.318870782852173,2.310478448867798,0.5099999904632568,0.49000000953674316,0.0,1.0,0.26733332872390747,0.0,0.7326666712760925,0.0,0.26733332872390747,,,,,,,,,,
C_1,1,2000,1,0,all,0.03123268399659218,0.014047314018891699,0.6479672193527222,0.515739381313324,0.1466449499130249,1.7943634986877441,1.941008448600769,0.7549999952316284,0.3786666691303253,0.13366666436195374,0.9900000095367432,0.009999999776482582,0.0,0.9900000095367432,0.009999999776482582,0.0,1.0,,,,,,,,,
C_1,1,2000,2,0,all,0.03123268399659218,0.014047314018891699,1.0525089502334595,0.5783311724662781,0.5096748471260071,1.3048553466796875,1.8145301342010498,0.8725000023841858,0.19433332979679108,0.06683333218097687,0.9096666574478149,0.09033333510160446,0.0,0.9096666574478149,0.09033333510160446,0.0,0.9188551902770996,1.0,0.99609375,0.9921875,0.90234375,0.6875,1.0,1.0,1.0,1.0
